Size,Binder Composition,Feed Mix (g Bioglass : g PEG6000),Final Volume (cm^3),Final Mass (g),Volume Loss (cm^3),Volume Loss (%),Mass Loss (g),Mass Loss (%),Porosity (%)
Evans 6mm,PVA,100:20,2.02,2.861,-0.2999999999999998,-12.931034482758614,-0.7489999999999997,-20.74792243767312,47.49
Evans 6mm,PVA,100:20,2.03,2.901,-0.3200000000000003,-13.617021276595755,-0.7690000000000001,-20.953678474114447,47.05
Evans 6mm,PVA,100:20,2.03,2.877,-0.33,-13.983050847457632,-0.7530000000000001,-20.743801652892564,47.38
Evans 6mm,PVA,100:20,2.03,2.868,-0.3400000000000003,-14.345991561181446,-0.7520000000000002,-20.77348066298343,47.61
Evans 6mm,PVA,100:20,2.03,2.864,-0.3200000000000003,-13.617021276595755,-0.7560000000000002,-20.88397790055249,47.84
Evans 6mm,PVA,100:20,2.03,2.921,-0.3400000000000003,-14.345991561181446,-0.7590000000000003,-20.625000000000007,46.71
Evans 6mm,PVA,100:20,2.03,2.889,-0.3900000000000001,-16.115702479338847,-0.7610000000000001,-20.849315068493155,47.26
Evans 6mm,PVA,100:20,2.05,2.922,-0.3000000000000002,-12.76595744680852,-0.7679999999999998,-20.813008130081297,47.16
Evans 6mm,PVA,100:20,2.04,2.897,-0.3199999999999998,-13.5593220338983,-0.7630000000000003,-20.846994535519137,47.53
Evans 6mm,PVA,100:20,2.05,2.908,-0.33,-13.8655462184874,-0.7720000000000002,-20.978260869565226,47.56
13mmx13mm plate,PVA,100:20,1.51,2.174,-0.1999999999999999,-11.695906432748536,-0.5870000000000002,-21.260412893879035,46.72
13mmx13mm plate,PVA,100:20,1.55,2.198,-0.2099999999999999,-11.93181818181818,-0.5800000000000001,-20.87832973362131,47.5
13mmx13mm plate,PVA,100:20,1.64,2.251,-0.08,-4.651162790697678,-0.5900000000000003,-20.76733544526576,49.12
13mmx13mm plate,PVA,100:20,1.33,2.128,-0.2299999999999999,-14.74358974358974,-0.5669999999999997,-21.03896103896103,40.9
13mmx13mm plate,PVA,100:20,1.55,2.234,-0.1799999999999999,-10.404624277456644,-0.6070000000000002,-21.3657162970785,46.76
13mmx13mm plate,PVA,100:20,1.42,2.193,-0.24,-14.457831325301203,-0.5899999999999999,-21.200143729787992,42.8
13mmx13mm plate,PVA,100:20,1.34,2.135,-0.2099999999999999,-7.734806629834254,-0.5800000000000001,-21.362799263351754,41.08
13mmx13mm plate,PVA,100:20,1.35,2.145,-0.1299999999999999,-4.7811695476278,-0.5739999999999998,-21.110702464141223,41.05
13mmx13mm plate,PVA,100:20,1.4,2.198,-0.1900000000000001,-6.805157593123215,-0.5939999999999999,-21.27507163323782,41.78
13mmx13mm plate,PVA,100:20,1.42,2.252,-0.01,-0.3502626970227673,-0.6030000000000002,-21.120840630472863,41.42
13mmx13mm plate,PVA,100:20,1.49,2.27,-0.1200000000000001,-4.184100418410046,-0.5979999999999999,-20.850767085076704,43.45
13mmx13mm plate,PVA,100:20,1.45,2.26,-0.1600000000000001,-5.586592178770955,-0.6040000000000001,-21.08938547486034,42.39
13mmx13mm plate,PVA,100:20,1.3,2.098,-0.1299999999999999,-4.905660377358487,-0.552,-20.830188679245285,40.09
13mmx13mm plate,PVA,100:20,1.38,2.165,-0.1400000000000001,-5.0946142649199455,-0.5830000000000002,-21.215429403202336,41.83
13mmx13mm plate,PVA,100:20,1.42,2.141,-0.09,-3.3308660251665465,-0.5609999999999999,-20.762398223538117,44.13
13mmx13mm plate,PVA,100:20,1.4,2.179,-0.1300000000000001,-4.722121322193974,-0.5740000000000003,-20.849981837994925,42.2
13mmx13mm plate,PVA,100:20,1.39,2.172,-0.09,-3.2703488372093052,-0.5799999999999996,-21.075581395348824,41.98
13mmx13mm plate,PVA,100:20,1.43,2.216,-0.06,-2.1359914560341777,-0.593,-21.11071555713777,42.68
13mmx13mm plate,PVA,100:20,1.3,2.039,-0.06,-4.411764705882357,-0.5509999999999997,-21.274131274131264,41.74
13mmx13mm plate,PVA,100:20,1.35,2.14,-0.0399999999999998,-2.8776978417266053,-0.573,-21.12053077773682,41.49
13mmx13mm plate,PVA,100:20,1.31,2.142,-0.1999999999999999,-13.24503311258278,-0.565,-20.871813816032507,39.64
13mmx13mm plate,PVA,100:20,1.35,2.188,-0.1999999999999999,-12.90322580645161,-0.585,-21.09628561125135,40.07
13mmx13mm plate,PVA,100:20,1.36,2.215,-0.1999999999999999,-12.820512820512816,-0.5840000000000001,-20.864594498035014,39.87
13mmx13mm plate,PVA,100:20,1.28,2.112,-0.1499999999999999,-10.489510489510485,-0.556,-20.839580209895058,38.89
19mmx19mm plate,PVA,100:20,3.53,4.722,-0.3666152400000007,-9.408556334651111,-1.279,-21.313114480919847,50.5
19mmx19mm plate,PVA,100:20,3.39,4.62,-0.3460206399999999,-9.261743264887311,-1.2400000000000002,-21.160409556313994,46.38
19mmx19mm plate,PVA,100:20,3.51,4.783,-0.3763313370000003,-9.683459910304611,-1.3039999999999994,-21.42270412354197,49.62
19mmx19mm plate,PVA,100:20,3.55,4.812,-0.3064232250000001,-7.945788289354576,-1.3049999999999995,-21.333987248651297,49.92
19mmx19mm plate,PVA,100:20,3.46,4.736,-0.3425906030000001,-9.009400137099115,-1.2759999999999998,-21.22421823020625,49.41
19mmx19mm plate,PVA,100:20,3.33,4.783,-0.3013836800000002,-8.299417152196934,-1.2559999999999991,-20.798145388309315,46.81
19mmx19mm plate,PVA,100:20,3.32,4.767,-0.3776927900000002,-10.21428256618366,-1.266,-20.984584783689705,46.97
19mmx19mm plate,PVA,100:20,3.22,4.742,-0.2908690399999996,-8.28481600099785,-1.261,-21.006163584874233,45.59
19mmx19mm plate,PVA,100:20,3.33,4.711,-0.2397704159999993,-6.716690096520746,-1.258,-21.07555704473111,47.61
19mmx19mm plate,PVA,100:20,2.97,4.735,-0.1740839219999994,-5.536872625501103,-1.2249999999999996,-20.55369127516778,41.08
19mmx19mm plate,PVA,100:20,3.01,4.779,-0.3388746239999998,-10.11905974536716,-1.2759999999999998,-21.07349298100743,41.22
19mmx19mm plate,PVA,100:20,2.89,4.707,-0.2719784319999996,-8.601527108708616,-1.2380000000000004,-20.824222035323807,39.83
Evans 12mm,PVA,100:0,3.83,5.572,-0.2199999999999997,-5.432098765432094,-0.484,-7.992073976221928,46.12
Evans 12mm,PVA,100:10,3.65,4.607,-0.4300000000000001,-7.72964227934568,-0.9559999999999996,-17.18497213733596,53.3
Evans 12mm,PVA,100:10,3.78,4.605,-0.2799999999999998,-5.044136191677172,-0.9459999999999996,-17.041974419023596,54.82
Evans 12mm,PVA,100:10,3.76,4.58,-0.3100000000000005,-5.579553635709153,-0.976,-17.566594672426206,54.89
Evans 12mm,PVA,100:10,3.8,4.961,-0.2300000000000004,-3.889734483341796,-0.952,-16.100118383223403,51.71
Evans 12mm,PVA,100:10,3.82,4.919,-0.2399999999999997,-4.07747196738022,-0.9670000000000004,-16.428814135236163,52.29
Evans 12mm,PVA,100:10,3.82,4.935,-0.2500000000000004,-4.175714047102062,-1.0520000000000005,-17.571404710205453,52.19
Evans 12mm,PVA,100:10,3.77,4.876,-0.2499999999999995,-4.450774434751638,-0.7409999999999997,-13.192095424603876,52.14
Evans 12mm,PVA,100:10,3.77,4.933,-0.2600000000000002,-4.587155963302756,-0.7350000000000003,-12.967537050105864,51.59
Evans 12mm,PVA,100:10,3.76,4.967,-0.2999999999999998,-5.2640814177925925,-0.7320000000000002,-12.844358659413938,51.1
Evans 12mm,PVA,100:10,3.81,4.932,-0.2299999999999999,-4.062886415827592,-0.7289999999999992,-12.877583465818743,52.16
Evans 12mm,PVA,100:10,3.78,4.939,-0.2900000000000005,-5.109231853417908,-0.7370000000000001,-12.984496124031008,51.63
Evans 12mm,PVA,100:10,3.77,4.94,-0.3000000000000002,-5.29661016949153,-0.7239999999999993,-12.782485875706204,51.43
Evans 12mm,PVA,100:20,3.78,4.961,-0.27,-4.447372755723935,-1.1099999999999994,-18.283643551309495,51.35
Evans 12mm,PVA,100:20,3.82,4.909,-0.1700000000000003,-2.8380634390651145,-1.0810000000000004,-18.04674457429049,52.43
Evans 12mm,PVA,100:20,3.73,4.458,-0.27,-4.951402897487622,-0.995,-18.246836603704384,55.73
Evans 12mm,PVA,100:20,3.66,4.701,-0.5999999999999996,-14.084507042253511,-1.285,-21.46675576344805,52.48
Evans 12mm,PVA,100:20,3.52,4.657,-0.6599999999999997,-15.78947368421052,-1.2409999999999997,-21.041030857917935,51.05
Evans 12mm,PVA,100:20,3.47,4.627,-0.6999999999999997,-16.786570743405267,-1.2599999999999998,-21.40309155766944,50.62
Evans 12mm,PVA,100:20,3.54,4.577,-0.6699999999999999,-15.914489311163893,-1.3120000000000005,-22.27882492783155,52.13
Evans 12mm,PVA,100:20,3.52,4.611,-0.7200000000000002,-16.981132075471702,-1.237,-21.152530779753764,51.47
Evans 12mm,PVA,100:20,3.49,4.688,-0.7299999999999995,-17.298578199052123,-1.2780000000000005,-21.42138786456588,50.27
Evans 12mm,PVA,100:30,3.5,4.192,-0.6200000000000001,-10.528103243335032,-1.697,-28.816437425708948,55.68
Evans 12mm,PVA,100:30,3.45,4.22,-0.6600000000000001,-11.148648648648653,-1.7000000000000002,-28.716216216216218,54.7
Evans 12mm,PVA,100:30,3.47,4.199,-0.69,-11.69095221958658,-1.7030000000000003,-28.854625550660796,55.12
Evans 12mm,PVA,100:40,3.5,3.806,-0.5599999999999996,-9.58575830195138,-2.0359999999999996,-34.85107839780896,59.76
Evans 12mm,PVA,100:40,3.55,3.865,-0.5200000000000005,-8.837525492862005,-2.019,-34.313392250169954,59.67
Evans 12mm,PVA,100:40,3.47,3.879,-0.5899999999999994,-9.951087873165784,-2.0500000000000003,-34.57581379659302,58.58
