Sample ID,Group ID,Size,Date Tested,Binder Composition,Feed Mix (g Bioglass : g PEG6000),Particle Size (microns),Sintering Temperature (°C),Sintering Time (hours),Final Volume (cm^3),Final Mass (g),Volume Loss (cm^3),Volume Loss (%),Mass Loss (g),Mass Loss (%),Compressive Load (N),Cross-Sectional Area (mm^2),Maximum Stress (MPa),Porosity (%)
1,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.02,2.861,-0.2999999999999998,-12.931034482758614,-0.7489999999999997,-20.74792243767312,1819.25,169.0,10.764792899408285,47.49
2,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.03,2.901,-0.3200000000000003,-13.617021276595755,-0.7690000000000001,-20.953678474114447,1930.66,169.0,11.424023668639053,47.05
3,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.03,2.877,-0.33000000000000007,-13.983050847457632,-0.7530000000000001,-20.743801652892564,1650.06,169.0,9.763668639053254,47.38
4,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.03,2.868,-0.3400000000000003,-14.345991561181446,-0.7520000000000002,-20.77348066298343,1592.2,169.0,9.42130177514793,47.61
5,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.03,2.864,-0.3200000000000003,-13.617021276595755,-0.7560000000000002,-20.88397790055249,1570.2,169.0,9.29112426035503,47.84
6,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.03,2.921,-0.3400000000000003,-14.345991561181446,-0.7590000000000003,-20.625000000000007,1886.41,169.0,11.162189349112426,46.71
7,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.03,2.889,-0.3900000000000001,-16.115702479338847,-0.7610000000000001,-20.849315068493155,1955.43,169.0,11.570591715976331,47.26
8,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.05,2.922,-0.30000000000000027,-12.765957446808521,-0.7679999999999998,-20.813008130081297,1976.02,169.0,11.692426035502958,47.16
9,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.04,2.897,-0.31999999999999984,-13.5593220338983,-0.7630000000000003,-20.846994535519134,1941.63,169.0,11.488934911242604,47.53
10,4225:G1<90um,Evans 6mm,2025-04-22,PVA,100:20,<90,930,6,2.05,2.908,-0.33000000000000007,-13.865546218487399,-0.7720000000000002,-20.978260869565226,2012.43,169.0,11.907869822485207,47.56
11,41025:G1:2kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.51,2.174,-0.19999999999999996,-11.695906432748536,-0.5870000000000002,-21.260412893879035,1754.3,169.0,10.380473372781065,46.72
12,41025:G1:2kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.55,2.198,-0.20999999999999996,-11.93181818181818,-0.5800000000000001,-20.87832973362131,1219.3,169.0,7.214792899408284,47.5
13,41025:G1:2kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.64,2.251,-0.08000000000000007,-4.651162790697678,-0.5900000000000003,-20.76733544526576,1446.9,169.0,8.561538461538461,49.12
